candidate_id,rank,score,reasoning
CAND_0000031,1,1.0000,"Senior candidate matching the 6.0-year profile perfectly; strong in embeddings, pinecone, faiss with a 60-day notice and based in a target location (Hyderabad, Telangana)."
CAND_0002025,2,1.0000,"Strong fit with 5.9 years in software engineering; strong in pinecone, weaviate, opensearch, academic background from a Tier-1 school, and highly active on Redrob (80% response rate)."
CAND_0005260,3,1.0000,"Senior candidate matching the 5.2-year profile perfectly; strong in embeddings, python, lora with a 60-day notice and based in a target location (Chennai, Tamil Nadu)."
CAND_0006418,4,1.0000,"Senior candidate matching the 5.7-year profile perfectly; strong in embeddings, weaviate, qdrant with a 60-day notice and based in a target location (Gurgaon, Haryana)."
CAND_0006557,5,1.0000,"Outstanding NLP Engineer with 7.9 years of experience; strong in vector search, pinecone, weaviate and based in Jaipur, Rajasthan with 120-day notice."
CAND_0007009,6,1.0000,"Senior candidate matching the 7.9-year profile perfectly; strong in embeddings, weaviate, opensearch with a 30-day notice and based in a target location (Noida, Uttar Pradesh)."
CAND_0007412,7,1.0000,"Outstanding Applied ML Engineer with 7.4 years of experience; strong in pinecone, milvus and based in Noida, Uttar Pradesh with 120-day notice."
CAND_0007460,8,1.0000,"Outstanding AI Engineer with 4.7 years of experience; strong in embeddings, weaviate, lora and based in Pune, Maharashtra with 120-day notice."
CAND_0008425,9,1.0000,"Senior candidate matching the 7.8-year profile perfectly; strong in qdrant, python, lora with a 90-day notice and based in a target location (Kolkata, West Bengal)."
CAND_0008978,10,1.0000,"Outstanding Junior ML Engineer with 6.7 years of experience; strong in embeddings, milvus, elasticsearch and based in Pune, Maharashtra with 90-day notice."
CAND_0009024,11,1.0000,"Strong fit with 5.2 years in software engineering; strong in qdrant, opensearch, faiss, academic background from a Tier-1 school, and highly active on Redrob (46% response rate)."
CAND_0009691,12,1.0000,"Senior candidate matching the 6.2-year profile perfectly; strong in pinecone, qdrant, faiss with a 120-day notice and based in a target location (Indore, Madhya Pradesh)."
CAND_0009837,13,1.0000,"Strong fit with 4.3 years in software engineering; strong in qdrant, faiss, python, academic background from a Tier-1 school, and highly active on Redrob (53% response rate)."
CAND_0010149,14,1.0000,"Strong fit with 6.9 years in software engineering; strong in vector search, milvus, elasticsearch, academic background from a Tier-1 school, and highly active on Redrob (82% response rate)."
CAND_0010257,15,1.0000,"Strong fit with 6.5 years in software engineering; strong in qdrant, milvus, opensearch, academic background from a Tier-2 school, and highly active on Redrob (72% response rate)."
CAND_0011162,16,1.0000,"Outstanding Recommendation Systems Engineer with 5.8 years of experience; strong in embeddings, vector search, pinecone and based in Coimbatore, Tamil Nadu with 90-day notice."
CAND_0011687,17,1.0000,"Outstanding Senior NLP Engineer with 7.8 years of experience; strong in embeddings, weaviate, opensearch and based in Indore, Madhya Pradesh with 15-day notice."
CAND_0012957,18,1.0000,"Strong fit with 4.9 years in software engineering; strong in embeddings, qdrant, python, academic background from a Tier-2 school, and highly active on Redrob (67% response rate)."
CAND_0013393,19,1.0000,"Senior candidate matching the 5.3-year profile perfectly; strong in embeddings, pinecone, qdrant with a 60-day notice and based in a target location (Bangalore, Karnataka)."
CAND_0014440,20,1.0000,"Senior candidate matching the 6.4-year profile perfectly; strong in qdrant, milvus, elasticsearch with a 60-day notice and based in a target location (Chennai, Tamil Nadu)."
CAND_0015057,21,1.0000,"Strong fit with 4.6 years in software engineering; strong in embeddings, vector search, qdrant, academic background from a Tier-2 school, and highly active on Redrob (85% response rate)."
CAND_0015528,22,1.0000,"Strong fit with 7.4 years in software engineering; strong in weaviate, opensearch, faiss, academic background from a Tier-1 school, and highly active on Redrob (53% response rate)."
CAND_0015578,23,1.0000,"Outstanding AI Engineer with 5.4 years of experience; strong in embeddings, pinecone, faiss and based in Delhi, Delhi with 90-day notice."
CAND_0015582,24,1.0000,"Strong fit with 4.4 years in software engineering; strong in embeddings, vector search, pinecone, academic background from a Tier-1 school, and highly active on Redrob (82% response rate)."
CAND_0016163,25,1.0000,"Outstanding Applied ML Engineer with 6.7 years of experience; strong in embeddings, pinecone, weaviate and based in Gurgaon, Haryana with 120-day notice."
CAND_0016659,26,1.0000,"Strong fit with 4.4 years in software engineering; strong in pinecone, weaviate, faiss, academic background from a Tier-1 school, and highly active on Redrob (89% response rate)."
CAND_0017960,27,1.0000,"Outstanding Recommendation Systems Engineer with 7.7 years of experience; strong in qdrant, python, qlora and based in Bangalore, Karnataka with 60-day notice."
CAND_0018499,28,1.0000,"Senior candidate matching the 7.2-year profile perfectly; strong in embeddings, pinecone, weaviate with a 15-day notice and based in a target location (Noida, Uttar Pradesh)."
CAND_0018549,29,1.0000,"Strong fit with 6.8 years in software engineering; strong in weaviate, qdrant, milvus, academic background from a Tier-1 school, and highly active on Redrob (73% response rate)."
CAND_0020877,30,1.0000,"Strong fit with 5.1 years in software engineering; strong in weaviate, qdrant, milvus, academic background from a Tier-1 school, and highly active on Redrob (66% response rate)."
CAND_0020991,31,1.0000,"Strong fit with 4.9 years in software engineering; strong in weaviate, opensearch, python, academic background from a Tier-3 school, and highly active on Redrob (88% response rate)."
CAND_0024620,32,1.0000,"Outstanding AI Engineer with 5.9 years of experience; strong in elasticsearch, python, qlora and based in New York with 45-day notice."
CAND_0025640,33,1.0000,"Outstanding AI Research Engineer with 5.6 years of experience; strong in opensearch, elasticsearch, faiss and based in Jaipur, Rajasthan with 30-day notice."
CAND_0027691,34,1.0000,"Senior candidate matching the 6.5-year profile perfectly; strong in embeddings, weaviate, python with a 15-day notice and based in a target location (Pune, Maharashtra)."
CAND_0027801,35,1.0000,"Strong fit with 7.4 years in software engineering; strong in vector search, milvus, opensearch, academic background from a Tier-2 school, and highly active on Redrob (65% response rate)."
CAND_0028793,36,1.0000,"Outstanding Search Engineer with 7.2 years of experience; strong in embeddings, lora, qlora and based in Trivandrum, Kerala with 120-day notice."
CAND_0029367,37,1.0000,"Strong fit with 5.7 years in software engineering; strong in vector search, pinecone, faiss, academic background from a Tier-2 school, and highly active on Redrob (77% response rate)."
CAND_0030031,38,1.0000,"Senior candidate matching the 5.7-year profile perfectly; strong in vector search, milvus, python with a 30-day notice and based in a target location (Trivandrum, Kerala)."
CAND_0030348,39,1.0000,"Strong fit with 4.5 years in software engineering; strong in embeddings, vector search, elasticsearch, academic background from a Tier-2 school, and highly active on Redrob (54% response rate)."
CAND_0030784,40,1.0000,"Senior candidate matching the 4.4-year profile perfectly; strong in embeddings, pinecone, python with a 90-day notice and based in a target location (Delhi, Delhi)."
CAND_0030827,41,1.0000,"Outstanding Senior Data Scientist with 5.4 years of experience; strong in qdrant, faiss, learning to rank and based in Singapore with 120-day notice."
CAND_0032179,42,1.0000,"Senior candidate matching the 6.4-year profile perfectly; strong in embeddings, vector search, weaviate with a 60-day notice and based in a target location (Sydney)."
CAND_0032515,43,1.0000,"Senior candidate matching the 5.1-year profile perfectly; strong in vector search, milvus, elasticsearch with a 45-day notice and based in a target location (Seattle)."
CAND_0032527,44,1.0000,"Senior candidate matching the 3.9-year profile perfectly; strong in vector search, milvus, python with a 30-day notice and based in a target location (Ahmedabad, Gujarat)."
CAND_0034164,45,1.0000,"Strong fit with 3.6 years in software engineering; strong in pinecone, weaviate, elasticsearch, academic background from a Tier-2 school, and highly active on Redrob (84% response rate)."
CAND_0036184,46,1.0000,"Senior candidate matching the 6.0-year profile perfectly; strong in embeddings, vector search, pinecone with a 30-day notice and based in a target location (Trivandrum, Kerala)."
CAND_0036437,47,1.0000,"Outstanding Search Engineer with 4.8 years of experience; strong in vector search, weaviate, milvus and based in Kolkata, West Bengal with 30-day notice."
CAND_0036863,48,1.0000,"Outstanding Senior Data Scientist with 4.3 years of experience; strong in qdrant, opensearch, faiss and based in Chennai, Tamil Nadu with 60-day notice."
CAND_0037160,49,1.0000,"Outstanding Data Scientist with 6.0 years of experience; strong in embeddings, vector search, weaviate and based in Mumbai, Maharashtra with 30-day notice."
CAND_0037566,50,1.0000,"Strong fit with 6.9 years in software engineering; strong in pinecone, elasticsearch, lora, academic background from a Tier-2 school, and highly active on Redrob (50% response rate)."
CAND_0037944,51,1.0000,"Strong fit with 4.9 years in software engineering; strong in embeddings, vector search, opensearch, academic background from a Tier-1 school, and highly active on Redrob (42% response rate)."
CAND_0039383,52,1.0000,"Outstanding Applied ML Engineer with 7.1 years of experience; strong in vector search, elasticsearch, faiss and based in Gurgaon, Haryana with 90-day notice."
CAND_0039838,53,1.0000,"Senior candidate matching the 4.9-year profile perfectly; strong in embeddings, vector search, milvus with a 90-day notice and based in a target location (Kochi, Kerala)."
CAND_0040887,54,1.0000,"Strong fit with 4.7 years in software engineering; strong in milvus, faiss, python, academic background from a Tier-2 school, and highly active on Redrob (84% response rate)."
CAND_0041610,55,1.0000,"Strong fit with 6.7 years in software engineering; strong in embeddings, opensearch, elasticsearch, academic background from a Tier-2 school, and highly active on Redrob (52% response rate)."
CAND_0041669,56,1.0000,"Outstanding Recommendation Systems Engineer with 8.0 years of experience; strong in weaviate, qdrant, milvus and based in Noida, Uttar Pradesh with 60-day notice."
CAND_0042029,57,1.0000,"Outstanding Senior Data Scientist with 6.5 years of experience; strong in embeddings, weaviate, opensearch and based in Delhi, Delhi with 45-day notice."
CAND_0042100,58,1.0000,"Senior candidate matching the 7.3-year profile perfectly; strong in pinecone, elasticsearch, qlora with a 90-day notice and based in a target location (Singapore)."
CAND_0042506,59,1.0000,"Outstanding Search Engineer with 4.2 years of experience; strong in qdrant, milvus, faiss and based in Mumbai, Maharashtra with 15-day notice."
CAND_0043228,60,1.0000,"Senior candidate matching the 6.8-year profile perfectly; strong in vector search, weaviate, opensearch with a 30-day notice and based in a target location (Chennai, Tamil Nadu)."
CAND_0044855,61,1.0000,"Outstanding Senior Data Scientist with 6.6 years of experience; strong in embeddings, vector search, pinecone and based in Coimbatore, Tamil Nadu with 60-day notice."
CAND_0045250,62,1.0000,"Senior candidate matching the 6.6-year profile perfectly; strong in embeddings, vector search, qdrant with a 15-day notice and based in a target location (Delhi, Delhi)."
CAND_0046064,63,1.0000,"Outstanding Senior NLP Engineer with 8.9 years of experience; strong in pinecone, opensearch, elasticsearch and based in Coimbatore, Tamil Nadu with 30-day notice."
CAND_0046353,64,1.0000,"Strong fit with 6.4 years in software engineering; strong in vector search, weaviate, qdrant, academic background from a Tier-1 school, and highly active on Redrob (73% response rate)."
CAND_0046525,65,1.0000,"Senior candidate matching the 6.1-year profile perfectly; strong in qdrant, elasticsearch, nlp with a 60-day notice and based in a target location (Pune, Maharashtra)."
CAND_0047721,66,1.0000,"Strong fit with 7.0 years in software engineering; strong in qdrant, milvus, faiss, academic background from a Tier-1 school, and highly active on Redrob (49% response rate)."
CAND_0048558,67,1.0000,"Strong fit with 6.7 years in software engineering; strong in qdrant, opensearch, elasticsearch, academic background from a Tier-2 school, and highly active on Redrob (80% response rate)."
CAND_0049538,68,1.0000,"Outstanding Applied ML Engineer with 5.8 years of experience; strong in embeddings, vector search, milvus and based in Jaipur, Rajasthan with 30-day notice."
CAND_0050454,69,1.0000,"Strong fit with 6.8 years in software engineering; strong in qdrant, faiss, lora, academic background from a Tier-3 school, and highly active on Redrob (77% response rate)."
CAND_0050876,70,1.0000,"Outstanding Applied ML Engineer with 6.0 years of experience; strong in qdrant, opensearch, faiss and based in Kolkata, West Bengal with 90-day notice."
CAND_0051004,71,1.0000,"Senior candidate matching the 4.7-year profile perfectly; strong in embeddings, vector search, qdrant with a 15-day notice and based in a target location (Delhi, Delhi)."
CAND_0051292,72,1.0000,"Senior candidate matching the 5.2-year profile perfectly; strong in vector search, elasticsearch, faiss with a 30-day notice and based in a target location (Trivandrum, Kerala)."
CAND_0052328,73,1.0000,"Outstanding Recommendation Systems Engineer with 6.5 years of experience; strong in vector search, opensearch, python and based in Pune, Maharashtra with 30-day notice."
CAND_0052682,74,1.0000,"Outstanding NLP Engineer with 6.6 years of experience; strong in embeddings, faiss, python and based in Vizag, Andhra Pradesh with 30-day notice."
CAND_0053591,75,1.0000,"Outstanding AI Engineer with 5.3 years of experience; strong in embeddings, qdrant, milvus and based in Toronto with 60-day notice."
CAND_0054123,76,1.0000,"Strong fit with 4.7 years in software engineering; strong in vector search, weaviate, qdrant, academic background from a Tier-1 school, and highly active on Redrob (87% response rate)."
CAND_0055905,77,1.0000,"Strong fit with 8.1 years in software engineering; strong in embeddings, vector search, opensearch, academic background from a Tier-2 school, and highly active on Redrob (87% response rate)."
CAND_0058688,78,1.0000,"Outstanding AI Engineer with 6.7 years of experience; strong in embeddings, milvus, qlora and based in Berlin with 15-day notice."
CAND_0061265,79,1.0000,"Outstanding Recommendation Systems Engineer with 6.6 years of experience; strong in embeddings, vector search, qdrant and based in Delhi, Delhi with 120-day notice."
CAND_0061655,80,1.0000,"Outstanding Machine Learning Engineer with 4.6 years of experience; strong in pinecone, qdrant, opensearch and based in Jaipur, Rajasthan with 15-day notice."
CAND_0061819,81,1.0000,"Senior candidate matching the 5.0-year profile perfectly; strong in qdrant, milvus, faiss with a 120-day notice and based in a target location (Chandigarh, Chandigarh)."
CAND_0062247,82,1.0000,"Strong fit with 7.3 years in software engineering; strong in vector search, pinecone, qdrant, academic background from a Tier-1 school, and highly active on Redrob (78% response rate)."
CAND_0064270,83,1.0000,"Senior candidate matching the 4.2-year profile perfectly; strong in embeddings, opensearch, elasticsearch with a 45-day notice and based in a target location (Pune, Maharashtra)."
CAND_0064326,84,1.0000,"Strong fit with 7.6 years in software engineering; strong in weaviate, milvus, python, academic background from a Tier-2 school, and highly active on Redrob (94% response rate)."
CAND_0064904,85,1.0000,"Outstanding AI Engineer with 4.9 years of experience; strong in embeddings, vector search, weaviate and based in Hyderabad, Telangana with 90-day notice."
CAND_0065195,86,1.0000,"Outstanding Search Engineer with 5.1 years of experience; strong in qdrant, elasticsearch, qlora and based in Kolkata, West Bengal with 45-day notice."
CAND_0066999,87,1.0000,"Strong fit with 5.9 years in software engineering; strong in embeddings, pinecone, opensearch, academic background from a Tier-1 school, and highly active on Redrob (63% response rate)."
CAND_0067866,88,1.0000,"Strong fit with 6.4 years in software engineering; strong in embeddings, qdrant, elasticsearch, academic background from a Tier-1 school, and highly active on Redrob (79% response rate)."
CAND_0068351,89,1.0000,"Outstanding Lead AI Engineer with 6.4 years of experience; strong in qdrant, elasticsearch, python and based in Delhi, Delhi with immediate availability."
CAND_0068456,90,1.0000,"Outstanding Data Scientist with 4.8 years of experience; strong in milvus, opensearch, elasticsearch and based in Chennai, Tamil Nadu with 120-day notice."
CAND_0068811,91,1.0000,"Strong fit with 8.0 years in software engineering; strong in embeddings, vector search, pinecone, academic background from a Tier-2 school, and highly active on Redrob (42% response rate)."
CAND_0069905,92,1.0000,"Outstanding Applied ML Engineer with 6.6 years of experience; strong in weaviate, python, lora and based in Bhubaneswar, Odisha with 90-day notice."
CAND_0070333,93,1.0000,"Senior candidate matching the 4.7-year profile perfectly; strong in weaviate, milvus, elasticsearch with a 60-day notice and based in a target location (Bhubaneswar, Odisha)."
CAND_0070398,94,1.0000,"Strong fit with 7.2 years in software engineering; strong in embeddings, faiss, python, academic background from a Tier-2 school, and highly active on Redrob (60% response rate)."
CAND_0071974,95,1.0000,"Senior candidate matching the 7.8-year profile perfectly; strong in embeddings, pinecone, weaviate with a 45-day notice and based in a target location (Vizag, Andhra Pradesh)."
CAND_0072660,96,1.0000,"Strong fit with 7.1 years in software engineering; strong in opensearch, elasticsearch, faiss, academic background from a Tier-2 school, and highly active on Redrob (53% response rate)."
CAND_0074225,97,1.0000,"Outstanding Machine Learning Engineer with 4.3 years of experience; strong in vector search, qdrant, milvus and based in Vizag, Andhra Pradesh with 120-day notice."
CAND_0074735,98,1.0000,"Outstanding Applied ML Engineer with 5.5 years of experience; strong in vector search, weaviate, elasticsearch and based in Chandigarh, Chandigarh with 90-day notice."
CAND_0075249,99,1.0000,"Strong fit with 6.2 years in software engineering; strong in pinecone, milvus, learning to rank, academic background from a Tier-1 school, and highly active on Redrob (82% response rate)."
CAND_0075574,100,1.0000,"Senior candidate matching the 5.7-year profile perfectly; strong in vector search, weaviate, qdrant with a 60-day notice and based in a target location (Bangalore, Karnataka)."
